code,Z_score
GM1680,0.975362100641339
GM0358,-2.53071497474912
GM0197,1.92023534519989
GM0059,0.366949836233815
GM0482,-0.869616553789444
GM0613,-2.24536859120146
GM0361,-3.62602415941391
GM0141,2.40240364213153
GM0034,-2.06756707761425
GM1723,-3.13790045631018
GM0484,-1.96398884080854
GM1959,-1.38468783252976
GM0307,-0.62584111765891
GM0362,-3.53180470453964
GM0363,-3.62031407947217
GM0200,1.85462925726486
GM0202,1.68431520290727
GM0106,1.78027110256486
GM0743,-0.310763270752521
GM0744,-1.15001148531155
GM0308,-1.94753692628141
GM0489,-0.802402818753939
GM0203,0.261601371618699
GM0888,3.1494466128882
GM1954,3.36044112946444
GM0889,3.76285399543209
GM1945,0.509236239212931
GM1724,1.70042144070212
GM0893,4.28548815923754
GM0373,-3.16793998028775
GM0748,1.76905796024215
GM1859,2.38392330666852
GM1721,1.55218033970445
GM0753,0.789364771804027
GM0209,1.88465977588963
GM0375,-2.86667004758899
GM1728,-0.0691270106255723
GM0376,-2.75826907266663
GM0377,-1.53635615349044
GM1901,-1.62918426735619
GM0755,2.76893877644703
GM1681,0.0972335331719376
GM0147,2.59045198640652
GM0654,-1.02785484748261
GM0757,-0.588297383298804
GM0758,-1.46717827648656
GM1876,2.18060617422863
GM0213,1.98109261950116
GM0899,3.60606332934575
GM0312,-2.04413905801057
GM0313,-1.76930921117363
GM0214,-0.225232481786621
GM0502,-2.09644950510875
GM0383,-3.12629322633401
GM0109,1.76952828591513
GM1706,3.46158046535308
GM0216,-1.63617558466191
GM0148,1.34076557241148
GM1891,-0.325809891511781
GM0310,-1.89062264066043
GM1940,-0.470973151494868
GM0736,-3.33742906298007
GM1690,2.05897703401219
GM0503,0.418332625024895
GM0400,-3.45950656437575
GM0762,3.99869703558161
GM0150,0.5867809748307
GM0384,-3.21040558151168
GM1980,-2.60475085284431
GM1774,0.493001276729611
GM0221,2.39145372806895
GM0222,2.46164400908563
GM0766,-1.51499159274172
