code,Z_score
GM1680,NaN
GM0358,NaN
GM0197,2.33624469198655
GM0059,0.568280723184672
GM0482,-1.2761652769912
GM0613,NaN
GM0361,-3.38526451041952
GM0141,2.11519345663074
GM0034,-2.71956122719452
GM1723,NaN
GM0484,-1.52510491716094
GM1959,-0.361462211157151
GM0307,-2.36768775715727
GM0362,-2.16458974581339
GM0363,-2.54187716048629
GM0200,0.372196505516265
GM0202,1.52845176287801
GM0106,-0.107186402577873
GM0743,NaN
GM0744,2.02702161924687
GM0308,-2.74290910398517
GM0489,-0.947055929352946
GM0203,-1.12007392394197
GM0888,3.53299010447796
GM1954,3.41592033477175
GM0889,2.97693193364136
GM1945,NaN
GM1724,3.21591168400268
GM0893,2.88584487406119
GM0373,-2.84164741200091
GM0748,-0.0246361859866869
GM1859,1.66429005958878
GM1721,1.29085418663834
GM0753,2.07347789214532
GM0209,0.967331883333485
GM0375,-3.55061220593322
GM1728,3.45542031679819
GM0376,NaN
GM0377,-2.891728606496
GM1901,-0.991495720455263
GM0755,1.95695606908665
GM1681,NaN
GM0147,2.21681470410106
GM0654,0.166622633488575
GM0757,1.75199463391818
GM0758,0.375450880413376
GM1876,2.23229457748328
GM0213,1.60923582874751
GM0899,3.73318300345129
GM0312,-0.600675608263087
GM0313,-0.78609033751309
GM0214,-0.426463135039331
GM0502,NaN
GM0383,-3.47192597669845
GM0109,1.15465410307529
GM1706,2.84453608535611
GM0216,0.0613498144148054
GM0148,0.624500629918934
GM1891,0.231811739617471
GM0310,-1.91735165560224
GM1940,-1.63381292415172
GM0736,-2.11624800871267
GM1690,0.333464389093838
GM0503,-0.989572208727513
GM0400,-2.20097849531854
GM0762,2.90669061318966
GM0150,NaN
GM0384,-2.75451304802613
GM1980,NaN
GM1774,NaN
GM0221,1.94862843632739
GM0222,2.11588456683136
GM0766,0.928733610125551
GM0505,-1.32391555938005
GM0498,NaN
GM1719,-0.363267754653196
GM0303,-1.75349665868442
GM0225,-0.0440663556351786
GM0226,2.08025416467093
GM1711,3.48870166716785
GM0385,-3.76342261624869
GM0228,0.679828712499764
GM0317,-2.61262781132619
GM1979,0.943166870733326
GM0770,NaN
GM1903,4.48804721682292
GM0772,2.19500921984462
GM0230,0.238566869201808
GM0114,1.58858172879764
GM0388,-3.84058753818103
GM0153,1.83431125088809
GM0232,0.863329576721895
GM0233,-1.34633372394416
GM0777,NaN
GM0779,NaN
GM1771,2.60638465071605
GM1652,2.34652207706371
GM0907,NaN
GM0784,1.19728293837971
GM1924,-1.74496023835909
GM0664,-0.254120477355058
GM0785,2.08014014260042
GM1942,-2.15439064784553
GM0512,-0.336908977700609
GM0513,-0.810489669285273
GM0518,-2.21856395259883
GM0014,0.541811769638951
GM1729,4.39199806868127
GM0158,NaN
GM0392,NaN
GM0394,-2.81333850211612
GM1655,0.093303046218677
GM0160,1.32200894204176
GM0243,-1.28437060897416
GM0523,-0.384707773641918
GM0072,-1.69268104498296
GM0244,0.797096711022426
GM0396,-3.68215713405583
GM0397,-3.21046184163179
GM0246,NaN
GM0074,-0.974120173391207
GM0917,3.18504048479601
GM1658,NaN
GM0399,-2.86399521769382
GM0163,1.60526242455921
GM0794,2.37910441100196
GM0531,NaN
GM0164,NaN
GM0796,0.789516759149652
GM1966,0.317620505111223
GM0252,1.93376994922768
GM0797,1.45088951753438
GM0534,-2.71155518107456
GM0798,NaN
GM0402,NaN
GM1963,-1.52371854489951
GM1735,1.2590442048372
GM1911,-2.42695167292897
GM0118,0.441479069854159
GM0405,NaN
GM1507,NaN
