"index","code","name","xPos","yPos"
112,"GM0394","Haarlemmermeer",109187.674101145,482018.291999999
113,"GM1655","Halderberge",94454.3662165257,400435.8025
114,"GM0160","Hardenberg",239539.091175952,509835.748000002
115,"GM0243","Harderwijk",173235.15797613,483621.1885
116,"GM0523","Hardinxveld-Giessendam",116233.772813854,427910.902000001
117,"GM0072","Harlingen",158955.613368036,576657.4858
118,"GM0244","Hattem",200859.634338097,498975.398499999
119,"GM0396","Heemskerk",104468.827234129,502607.420000002
120,"GM0397","Heemstede",102582.80994037,484140.7785
121,"GM0246","Heerde",199551.935658342,491079.286
122,"GM0074","Heerenveen",190989.637456836,556959.929500001
123,"GM0917","Heerlen",196834.726767258,321015.52
124,"GM1658","Heeze-Leende",168328.924769589,374439.137
125,"GM0399","Heiloo",108783.797039214,512909.780999999
126,"GM0163","Hellendoorn",227469.561742187,489616.4925
127,"GM0794","Helmond",174429.827336175,387212.057499999
128,"GM0531","Hendrik-Ido-Ambacht",103108.801052426,428937.759
129,"GM0164","Hengelo (O.)",251100.448709122,474732.718
130,"GM0796","'s-Hertogenbosch",152872.0209698,413962.739499999
131,"GM1966","Het Hogeland",224909.026461731,597594.4695
132,"GM0252","Heumen",185252.459018532,421468.762500001
133,"GM0797","Heusden",139670.653143229,411158.59
134,"GM0534","Hillegom",99453.7578113494,478849.6505
135,"GM0798","Hilvarenbeek",138319.961034344,388701.479
136,"GM0402","Hilversum",140397.251517042,471530.355
137,"GM1963","Hoeksche Waard",89448.6050100923,420403.182499999
138,"GM1735","Hof van Twente",235503.241377418,472739.585999999
139,"GM1911","Hollands Kroon",124517.077600008,540753.933999998
140,"GM0118","Hoogeveen",229661.361838403,527217.160500001
141,"GM0405","Hoorn",133862.807571284,518912.238
142,"GM1507","Horst aan de Maas",199737.864387557,384875.022
143,"GM0321","Houten",140611.198484902,446656.7215
144,"GM0406","Huizen",144328.142814779,478252.083999999
145,"GM0677","Hulst",64158.6418683124,371627.081
146,"GM1884","Kaag en Braassem",102653.856206675,467474.318
147,"GM0166","Kampen",191877.910115331,506971.149500001
148,"GM0678","Kapelle",56226.3095010977,389732.27
149,"GM0537","Katwijk",88720.6765631234,467065.146200001
150,"GM0928","Kerkrade",202324.07745705,320721.932500001
151,"GM1598","Koggenland",125597.201188833,517874.159
152,"GM0542","Krimpen aan den IJssel",101403.791920332,436758.97945
153,"GM1931","Krimpenerwaard",111720.374446048,441028.217999998
154,"GM1659","Laarbeek",170646.36372556,393730.645
155,"GM1982","Land van Cuijk",187086.815557594,408378.17585
156,"GM0882","Landgraaf",199951.557025909,323822.433499999
157,"GM0415","Landsmeer",123342.887810894,496015.3155
158,"GM1621","Lansingerland",94599.8129031144,447303.223999999
159,"GM0417","Laren (NH.)",143326.30769719,472730.404999999
160,"GM0080","Leeuwarden",183402.29584698,576016.157500001
161,"GM0546","Leiden",92996.0151405968,463003.2103
162,"GM0547","Leiderdorp",97259.3848150394,463537.8895
163,"GM1916","Leidschendam-Voorburg",89557.9671338967,456492.228
164,"GM0995","Lelystad",163966.659884015,505653.431400001
165,"GM1640","Leudal",190496.252925066,360602.088499999
166,"GM0327","Leusden",157170.738098202,459692.770500001
167,"GM1705","Lingewaard",193334.327128222,435585.873499999
168,"GM0553","Lisse",97279.5072099173,474368.275999999
169,"GM0262","Lochem",220441.333685916,465308.3235
170,"GM0809","Loon op Zand",131567.476282465,405866.169500001
171,"GM0331","Lopik",124418.689473061,443811.093500001
172,"GM0168","Losser",264202.35192939,480338.509499999
173,"GM0263","Maasdriel",150143.025972501,421859.964500001
174,"GM1641","Maasgouw",190471.159238402,352148.140000001
175,"GM1991","Maashorst",173688.893177757,411896.2555
176,"GM0556","Maassluis",76330.7279883384,438201.338
177,"GM0935","Maastricht",176787.59413228,318716.6525
178,"GM0420","Medemblik",137617.375402813,525844.772500001
179,"GM0938","Meerssen",179479.311649437,323946.9648
180,"GM1948","Meierijstad",163963.017668708,399959.102
181,"GM0119","Meppel",208456.73553489,526255.472000001
182,"GM0687","Middelburg (Z.)",33881.987559586,391766.020000001
183,"GM1842","Midden-Delfland",81851.4669034052,443014.781500001
184,"GM1731","Midden-Drenthe",234747.229168932,543217.035
185,"GM1952","Midden-Groningen",248004.461907475,578545.9275
186,"GM1709","Moerdijk",95912.2460377171,408548.55205
187,"GM1978","Molenlanden",116977.893895912,433773.193
188,"GM1955","Montferland",211262.230653948,437594.336999999
189,"GM0335","Montfoort",125074.945704793,450837.972999999
190,"GM0944","Mook en Middelaar",190880.764722772,417844.483999999
191,"GM1740","Neder-Betuwe",170735.18787306,437020.721999999
192,"GM0946","Nederweert",180201.596604483,367059.112
193,"GM0356","Nieuwegein",134799.945903278,449103.334999999
194,"GM0569","Nieuwkoop",113456.571636639,464577.647499999
195,"GM0267","Nijkerk",161295.293992033,469554.0985
196,"GM0268","Nijmegen",186162.811511342,428318.6075
197,"GM1930","Nissewaard",80562.4144517555,427349.511
198,"GM1970","Noardeast-Fryslân",192340.713142439,593880.09795
199,"GM1695","Noord-Beveland",44683.4643293557,398582.936100001
200,"GM1699","Noordenveld",224279.6988099,568047.754000001
201,"GM0171","Noordoostpolder",180585.119291732,526655.324000001
202,"GM0575","Noordwijk",93601.2835500085,475924.515899999
203,"GM0820","Nuenen, Gerwen en Nederwetten",165894.391989751,388561.388
204,"GM0302","Nunspeet",182855.7991041,483312.6865
205,"GM0579","Oegstgeest",92419.7580357084,466544.823999999
206,"GM0823","Oirschot",148972.799199367,388883.914999999
207,"GM0824","Oisterwijk",141920.963167742,397490.572000001
208,"GM1895","Oldambt",267257.899385596,579201.236
209,"GM0269","Oldebroek",193367.559128871,496683.073999999
210,"GM0173","Oldenzaal",258742.975059253,481085.026999999
211,"GM1773","Olst-Wijhe",206733.168847626,487784.6975
212,"GM0175","Ommen",227418.419808222,502961.5085
213,"GM1586","Oost Gelre",235585.856630587,448162.899499999
214,"GM0826","Oosterhout",118749.48570309,404954.242999999
215,"GM0085","Ooststellingwerf",216649.188061685,556402.801000001
216,"GM0431","Oostzaan",119747.610004555,496167.8255
217,"GM0432","Opmeer",124820.779407492,525211.213
218,"GM0086","Opsterland",202424.220480527,562459.351500001
219,"GM0828","Oss",165020.31,421071
220,"GM1509","Oude IJsselstreek",224112.759154254,435436.068499999
221,"GM0437","Ouder-Amstel",122879.460449712,478626.7336
222,"GM0589","Oudewater",118501.24654174,448638.1315
223,"GM1734","Overbetuwe",182446.460001283,437145.2105
224,"GM0590","Papendrecht",107967.189204737,427585.487500001
225,"GM1894","Peel en Maas",196235.517165449,371470.55215
226,"GM0765","Pekela",260785.643119963,565551.7315
227,"GM1926","Pijnacker-Nootdorp",89062.7205293788,447433.583000001
228,"GM0439","Purmerend",122245.411441529,506147.442
229,"GM0273","Putten",168083.727111513,473235.8805
230,"GM0177","Raalte",217654.428732875,489175.682499999
231,"GM0703","Reimerswaal",62333.9064785367,385003.568299999
232,"GM0274","Renkum",182780.250210359,444873.499500001
233,"GM0339","Renswoude",164852.672721052,453807.5865
234,"GM1667","Reusel-De Mierden",138268.180115135,375785.373499999
235,"GM0275","Rheden",201222.987041771,449422.6965
236,"GM0340","Rhenen",166567.934408128,443627.572000001
237,"GM0597","Ridderkerk",100277.334885108,431687.5085
238,"GM1742","Rijssen-Holten",226860.087870064,477893.395
239,"GM0603","Rijswijk (ZH.)",81957.4550634976,450407.257000001
240,"GM1669","Roerdalen",200290.671432794,350913.7105
241,"GM0957","Roermond",199057.497053357,357877.138500001
242,"GM1674","Roosendaal",88226.0084957975,391709.623500001
243,"GM0599","Rotterdam",93296.5197501701,437659.633300001
244,"GM0277","Rozendaal",194506.74649026,450298.253
245,"GM0840","Rucphen",98280.8356122324,392795.9035
246,"GM0441","Schagen",111984.59432249,533553.496299999
247,"GM0279","Scherpenzeel",163223.315742377,455793.7435
248,"GM0606","Schiedam",86161.4909464523,438434.312999999
249,"GM0088","Schiermonnikoog",207666.877083938,611670.2349
250,"GM1676","Schouwen-Duiveland",56045.1907245555,411000.8934
251,"GM0965","Simpelveld",197098.121448474,315839.011
252,"GM0845","Sint-Michielsgestel",153484.009717197,406899.3825
